,token,effectif
0,university,19487
1,public,10566
2,school,10305
3,institution,10236
4,educational,9846
5,law,7289
6,publisher,7142
7,research,6799
8,private,5689
9,open-access,5408
10,not-for-profit,5011
11,the,4935
12,organization,4270
13,united,3781
14,states,3753
15,college,3292
16,academic,2316
17,comprehensive,1868
18,court,1810
19,faculty,1685
20,building,1453
21,company,1411
22,high,1384
23,land-grant,1230
24,colleges,1208
25,publishing,1085
26,colonial,980
27,supreme,941
28,arts,933
29,liberal,920
30,national,873
31,academy,848
32,boarding,800
33,graduate,752
34,excellence,725
35,nonprofit,704
36,education,699
37,higher,697
38,federal,689
39,independent,669
40,(germany),626
41,campus,623
42,society,623
43,courts,618
44,catholic,580
45,oxford,566
46,institute,566
47,learned,506
48,cambridge,467
49,sciences,461
50,secondary,443
51,local,425
52,internet,405
53,german,405
54,registry,405
55,government,401
56,student,391
57,state,389
58,corps,382
59,inns,378
60,agency,354
61,boys',314
62,collegiate,307
63,production,283
64,grant,264
65,military,264
66,business,241
67,paramilitary,232
68,ministry,232
69,political,231
70,that,230
71,lives,230
72,change,230
73,quebec,228
74,association,202
75,system,195
76,swedish,193
77,non-governmental,182
78,department,168
79,international,164
80,ancient,164
81,france,160
82,church,158
83,studentenverbindung,158
84,complex,156
85,charitable,156
86,black,154
87,historically,154
88,sun,151
89,burschenschaft,150
90,faction,146
91,pontifical,139
92,gymnasium,129
93,group,123
94,jesuit,122
95,constitutional,122
96,location,114
97,geographic,114
98,ontario,113
99,former,112
100,university-preparatory,110
101,library,109
102,nations,102
103,collection,99
104,sea,98
105,stiftungshochschule,96
106,applied,94
107,voluntary,93
108,primary,92
109,district,89
110,women's,88
111,seminary,87
112,entity,87
113,justice,86
114,type,86
115,squadron,85
116,under,85
117,directly,84
118,constituent,83
119,depository,83
120,republic,82
121,workplace,82
122,stage,81
123,grammar,80
124,honor,79
125,china,78
126,people’s,78
127,level,72
128,exempt,72
129,charity,72
130,czech,71
131,assembly,69
132,vice-ministerial,66
133,firm,64
134,archive,64
135,intergovernmental,61
136,cultural,61
137,council,60
138,central,60
139,regulatory,60
140,germany,58
141,club,58
142,and,58
143,museum,58
144,community,56
145,executive,55
146,legislative,55
147,heritage,55
148,service,54
149,ottoman,53
150,body,53
151,architectural,53
152,girls',52
153,social,52
154,day,52
155,term,51
156,arboretum,51
157,space,49
158,language,48
159,fraternal,46
160,imperial,46
161,"studentenverbindung,",45
162,civil,45
163,technology,45
164,école,44
165,property,44
166,royal,43
167,unit,42
168,academies,41
169,u.s.,40
170,commission,40
171,scotia,40
172,nova,40
173,regulator,40
174,union,40
175,fraternity,39
176,public–private,39
177,partnership,39
178,south,39
179,empire,38
180,regional,38
181,korea,37
182,neighborhood,37
183,historical,36
184,structure,36
185,direct,36
186,reporting,36
187,grand,36
188,quango,36
189,autonomous,35
190,first,35
191,parliamentary,35
192,site,34
193,senior,34
194,administrative,34
195,russian,34
196,appellate,33
197,grande,32
198,superior,32
199,upper,31
200,human,31
201,bulgaria,30
202,party,30
203,corporation,30
204,établissement,30
205,board,30
206,residential,29
207,japan,29
208,501(c)(3),29
209,judicial,29
210,dutch,28
211,scientific,28
212,enterprise,28
213,labor,28
214,foreign,28
215,australia,27
216,new,26
217,committee,26
218,schülerverbindung,26
219,person,26
220,british,26
221,policy,26
222,place,26
223,buildings,26
224,structures,26
225,gentlemen's,26
226,columbia,26
227,police,25
228,branch,25
229,census-designated,25
230,christian,25
231,affairs,25
232,selective,25
233,altherrenverein,24
234,organ,24
235,house,24
236,religious,24
237,wikimedia,23
238,professional,23
239,historic,23
240,ministries,22
241,general,22
242,japanese,22
243,q1265246,22
244,landsmannschaft,21
245,secret,20
246,relations,20
247,q965287,20
248,universities,19
249,naval,19
250,denmark,19
251,urban,19
252,appeal,19
253,advisory,19
254,reich,18
255,veterans',17
256,specialized,17
257,norway,17
258,judiciary,17
259,oberlandesgericht,17
260,legislature,16
261,city,16
262,tribunal,16
263,advocacy,16
264,brunswick,15
265,state-integrated,15
266,list,15
267,medical,15
268,movement,15
269,manitoba,15
270,conservatory,15
271,registration,15
272,newspaper,15
273,spain,14
274,d'application,14
275,red,14
276,foundation,14
277,bank,13
278,islamic,13
279,think,13
280,tank,13
281,position,13
282,observatory,13
283,liceum,13
284,lyceum,13
285,finland,13
286,database,12
287,normal,12
288,scotland,12
289,staff,12
290,juvenile,12
291,hospital,12
292,book,12
293,monument,12
294,european,12
295,junior,11
296,venue,11
297,intelligence,11
298,federated,11
299,office,11
300,election,11
301,trial,11
302,armed,10
303,combined,10
304,affiliated,10
305,order,10
306,canadian,10
307,verein,10
308,home,10
309,yeshiva,10
310,brick,10
311,authority,10
312,preparatory,10
313,eingetragener,10
314,korporationsverband,10
315,article,10
316,poland,10
317,meiji,9
318,facility,9
319,magazine,9
320,art,9
321,army,9
322,italy,9
323,administration,9
324,parliament,9
325,railway,9
326,pressure,9
327,principal,9
328,interior,9
329,single-family,9
330,writers,9
331,sekolah,9
332,cemetery,9
333,russia,9
334,detached,9
335,era,9
336,province,8
337,humanistic,8
338,york,8
339,rights,8
340,extraordinary,8
341,kingdom,8
342,hawza,8
343,engineering,8
344,municipality,8
345,defunct,8
346,sports,8
347,division,8
348,information,8
349,congressional,7
350,daily,7
351,broadcasting,7
352,country,7
353,q1423696,7
354,bundestag,7
355,organisation,7
356,landmark,7
357,replaced,7
358,finance,7
359,resistance,7
360,trade,7
361,lower,7
362,literary,7
363,financial,7
364,australian,7
365,team,6
366,chinese,6
367,youth,6
368,labrador,6
369,terrorist,6
370,communist,6
371,menengah,6
372,panel,6
373,senate,6
374,philosophy,6
375,defense,6
376,sorority,6
377,turnerschaft,6
378,governing,6
379,lycée,6
380,ministerial,6
381,middle,6
382,moroccan,6
383,big,6
384,caucus,6
385,center,6
386,newfoundland,6
387,minsk,6
388,atas,6
389,dormitory,5
390,station,5
391,page,5
392,danish,5
393,polytechnic,5
394,course,5
395,q1810925,5
396,piarist,5
397,criminal,5
398,voivodeship,5
399,aided,5
400,appeals,5
401,wing,5
402,institutions,5
403,program,5
404,disambiguation,5
405,for,5
406,faithful,5
407,forces,5
408,enforcement,5
409,established,5
410,mosque,5
411,bicameral,5
412,fürstenschule,5
413,theological,5
414,lebenscorps,5
415,legal,5
416,coeducational,5
417,war,5
418,hate,5
419,israeli,5
420,(france),4
421,unicameral,4
422,unibuc,4
423,hesder,4
424,award,4
425,herbarium,4
426,transport,4
427,insurance,4
428,security,4
429,city-state,4
430,roman,4
431,cegep,4
432,hanseatic,4
433,capital,4
434,cantonal,4
435,seat,4
436,state-owned,4
437,special,4
438,castle,4
439,hispanic-serving,4
440,football,4
441,einheitsgemeinde,4
442,ensemble,4
443,prep,4
444,for-profit,4
445,electoral,4
446,dyad,4
447,cross,4
448,largest,4
449,accreditor,4
450,manor,4
451,musical,4
452,motor,4
453,music,4
454,men's,4
455,metropolis,4
456,q129341528,4
457,prosecutors,4
458,courthouse,4
459,crescent,4
460,review,4
461,consejo,4
462,golf,4
463,switzerland,3
464,umbrella,3
465,basketball,3
466,text,3
467,territories,3
468,tinggi,3
469,town,3
470,atheneum,3
471,training,3
472,journalism,3
473,kindergarten,3
474,choral,3
475,science,3
476,chain,3
477,han,3
478,settlement,3
479,cabinet,3
480,berlin,3
481,border,3
482,botanical,3
483,statutory,3
484,bremen,3
485,broadcaster,3
486,spanish,3
487,cathedral,3
488,instance,3
489,inquiry,3
490,institut,3
491,history,3
492,undergraduate,3
493,hospitaller,3
494,iii,3
495,cluster,3
496,cpsu,3
497,credit,3
498,q104645948,3
499,publication,3
500,collège,3
501,consortium,3
502,q66147543,3
503,combination,3
504,divided,3
505,embassy,3
506,d'études,3
507,periodical,3
508,free,3
509,landgericht,3
510,portal,3
511,politiques,3
512,county,3
513,further,3
514,elected,3
515,game,3
516,netherlands,3
517,north,3
518,garden,3
519,legislatures,3
520,lodge,3
521,field,3
522,municipal,3
523,navy,3
524,migration,3
525,membership,3
526,exterior,3
527,force,3
528,manufacturer,3
529,mathematical,3
530,video,3
531,vorfeldorganisation,3
532,air,3
533,agriculture,3
534,wwii,3
535,ad-hoc,3
536,(17th,2
537,(russian,2
538,ies,2
539,ideology,2
540,aspect,2
541,media,2
542,major,2
543,fixed,2
544,vocational,2
545,airline,2
546,agrégation,2
547,archives,2
548,trust,2
549,torture,2
550,television,2
551,bar,2
552,aviation,2
553,supérieure,2
554,grounds,2
555,indonesia,2
556,blind,2
557,bible,2
558,fachhochschule,2
559,metropolitan,2
560,memorial,2
561,subject,2
562,study,2
563,studies,2
564,students',2
565,bundesministerium,2
566,sport,2
567,cassation,2
568,geographical,2
569,islamist,2
570,health,2
571,mission,2
572,female,2
573,federation),2
574,federation,2
575,family,2
576,magnet,2
577,lobbyist,2
578,carolina,2
579,california,2
580,single-sex,2
581,set,2
582,century),2
583,centre,2
584,scouting,2
585,rules,2
586,classico,2
587,class,2
588,clandestine,2
589,network,2
590,männerbund,2
591,english,2
592,multinational,2
593,multicampus,2
594,kirch,2
595,kantonsschule,2
596,jurisdiction,2
597,journal,2
598,chivalry,2
599,representatives,2
600,coalition,2
601,concours,2
602,concern,2
603,component,2
604,novitiate,2
605,normale,2
606,non-partisan,2
607,non-ministerial,2
608,niger,2
609,radio,2
610,corporate,2
611,construction,2
612,congregational,2
613,conference,2
614,quarter,2
615,q61415303,2
616,q2701962,2
617,psychiatric,2
618,prosecutor's,2
619,privy,2
620,oberverwaltungsgericht,2
621,liceo,2
622,league,2
623,gas,2
624,gaelcholáiste,2
625,fund,2
626,latin,2
627,labour,2
628,laboratory,2
629,prelature,2
630,port,2
631,polish,2
632,defence,2
633,detention,2
634,destroyed,2
635,durham,2
636,open,2
637,philosophical-theological,2
638,philippines,2
639,personal,2
640,people's,2
641,patent,2
642,palestine,2
643,zionist,2
644,zealand,2
645,zawiya,2
646,anti-corruption,2
647,unified,2
648,agricultural,2
649,world,2
650,abroad,2
651,18th,2
652,mass,1
653,masonic,1
654,marketing,1
655,maritime,1
656,marines,1
657,verwaltungshochschule,1
658,"version,",1
659,vehicle,1
660,al-ʿulūm,1
661,turkey,1
662,truth,1
663,trustee,1
664,troupe,1
665,troops,1
666,treaty-based,1
667,travel,1
668,philatelic,1
669,pharmacy,1
670,pesantren,1
671,pedagogy,1
672,peacekeeping,1
673,país,1
674,patriotic,1
675,parish,1
676,parachurch,1
677,zilla,1
678,(prussia),1
679,antifascist,1
680,anglican,1
681,anarchist,1
682,amigos,1
683,america,1
684,del,1
685,palazzo,1
686,other,1
687,duplicate,1
688,drama,1
689,discussion,1
690,disability,1
691,directorate-general,1
692,diocese,1
693,orchestra,1
694,opposition,1
695,operations,1
696,operating,1
697,ombudsman,1
698,olympic,1
699,degree,1
700,french,1
701,landtag,1
702,landeskirche,1
703,land,1
704,deemed,1
705,decoration,1
706,decentralised,1
707,data,1
708,cruise,1
709,crown,1
710,dicastery,1
711,development,1
712,destination,1
713,deputies,1
714,denomination,1
715,democratic,1
716,oil,1
717,oberste,1
718,food,1
719,fonds,1
720,flight,1
721,line,1
722,licensing,1
723,lawyers',1
724,gendarmerie,1
725,gdr,1
726,elective,1
727,edition,1
728,corrections,1
729,galician,1
730,führerpartei,1
731,furnace,1
732,q2782287,1
733,q2009063,1
734,q1981640,1
735,q1802087,1
736,q1595131,1
737,q15063568,1
738,q1299593,1
739,q105968869,1
740,protection,1
741,prosecutor,1
742,profession,1
743,printing,1
744,princely,1
745,crimes,1
746,court-martial,1
747,correspondence,1
748,related,1
749,reconciliation,1
750,realschule,1
751,real,1
752,railroad,1
753,rail,1
754,corporated,1
755,convention,1
756,controlled,1
757,consumer,1
758,consultant,1
759,q5789562,1
760,q55658194,1
761,q42058997,1
762,q4158616,1
763,q27999366,1
764,económica,1
765,economic,1
766,eastern,1
767,east,1
768,dār,1
769,obergericht,1
770,nursing,1
771,nonviolence,1
772,noble,1
773,newsletter,1
774,news,1
775,competition,1
776,communications,1
777,commune,1
778,commons,1
779,comedy,1
780,judiciaire,1
781,judenrat,1
782,graduating,1
783,grade,1
784,governor-general,1
785,gorsedd,1
786,gestapo,1
787,riksdag,1
788,retail,1
789,restaurant,1
790,rescue,1
791,representative,1
792,colonies,1
793,collaborating,1
794,coast,1
795,concerted,1
796,nazi,1
797,estate,1
798,esperanto,1
799,episcopal,1
800,environmental,1
801,environment,1
802,entry,1
803,england,1
804,employer,1
805,mounted,1
806,circuit,1
807,circle,1
808,churches,1
809,choir,1
810,kriegsakademie,1
811,kong,1
812,sociedad,1
813,skyscraper,1
814,shock,1
815,services,1
816,senioren-convent,1
817,self-regulatory,1
818,select,1
819,section,1
820,chapter,1
821,chancery,1
822,chambers,1
823,chamber,1
824,running,1
825,romania,1
826,roadside,1
827,nevada,1
828,hall,1
829,mixed-sex,1
830,mixed,1
831,fact-finding,1
832,felibrean,1
833,madrasa,1
834,läroverk,1
835,lycée-collège,1
836,lords,1
837,formation,1
838,camp,1
839,cadet,1
840,soviet,1
841,sovereign,1
842,southern,1
843,societies,1
844,bruk,1
845,broker,1
846,brickworks,1
847,staatscommissie,1
848,staatsanwaltschaft,1
849,sportgymnasium,1
850,jordan,1
851,joint-stock,1
852,jewish,1
853,island,1
854,investigative,1
855,internaliser,1
856,intermediate,1
857,headquarter,1
858,handel,1
859,hamburg,1
860,examination,1
861,euthanasia,1
862,europe,1
863,ethics,1
864,estates,1
865,ministry-owned,1
866,minister,1
867,metaorganization,1
868,mendicant,1
869,memory,1
870,megacity,1
871,subcommittee,1
872,stubengesellschaft,1
873,stock,1
874,bureau,1
875,bundesbehörde,1
876,syndicate,1
877,summer,1
878,summary,1
879,subsidiary,1
880,branch-type,1
881,gymnasieskola,1
882,guard,1
883,intentional,1
884,institutes,1
885,infantry,1
886,hong,1
887,holding,1
888,hochschule,1
889,blast,1
890,foreigners',1
891,exchange,1
892,translation,1
893,transcontinental,1
894,tourist,1
895,terror,1
896,territorial,1
897,technical,1
898,benefit,1
899,belgium,1
900,barristers',1
901,bachelor's,1
902,automobile,1
903,audit,1
904,attraction,1
905,teaching,1
906,tax,1
907,systematic,1
908,(spain),1
909,(bavaria),1
910,athletic,1
911,india,1
912,incorporated,1
913,importance,1
914,immigration,1
915,humans,1
916,humanities,1
917,housing,1
918,(japan),1
919,yale,1
920,yacht,1
921,athenaeum,1
922,assistance,1
923,mausoleum,1
924,alumni,1
925,universal,1
926,uniting,1
927,uea,1
928,aerospace,1
929,advanced,1
930,archipelagic,1
931,archdiocese,1
932,writing,1
933,wirtschaftsgymnasium,1
934,welsh-medium,1
935,wales,1
936,activity,1
937,abbey,1
938,1901,1
939,(switzerland),1
